Sticker,MEX,RSA,KOR,CZE,CAN,BIH,QAT,SUI,BRA,MAR,HAI,SCO,USA,PAR,AUS,TUR,GER,CUW,CIV,ECU,NED,JPN,SWE,TUN,BEL,EGY,IRN,NZL,ESP,CPV,KSA,URU,FRA,SEN,IRQ,NOR,ARG,ALG,AUT,JOR,POR,COD,UZB,COL,ENG,CRO,GHA,PAN,FWC
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWC0
1,MEX1,RSA1,KOR1,CZE1,CAN1,BIH1,QAT1,SUI1,BRA1,MAR1,HAI1,SCO1,USA1,PAR1,AUS1,TUR1,GER1,CUW1,CIV1,ECU1,NED1,JPN1,SWE1,TUN1,BEL1,EGY1,IRN1,NZL1,ESP1,CPV1,KSA1,URU1,FRA1,SEN1,IRQ1,NOR1,ARG1,ALG1,AUT1,JOR1,POR1,COD1,UZB1,COL1,ENG1,CRO1,GHA1,PAN1,FWC1
2,MEX2,RSA2,KOR2,CZE2,CAN2,BIH2,QAT2,SUI2,BRA2,MAR2,HAI2,SCO2,USA2,PAR2,AUS2,TUR2,GER2,CUW2,CIV2,ECU2,NED2,JPN2,SWE2,TUN2,BEL2,EGY2,IRN2,NZL2,ESP2,CPV2,KSA2,URU2,FRA2,SEN2,IRQ2,NOR2,ARG2,ALG2,AUT2,JOR2,POR2,COD2,UZB2,COL2,ENG2,CRO2,GHA2,PAN2,FWC2
3,MEX3,RSA3,KOR3,CZE3,CAN3,BIH3,QAT3,SUI3,BRA3,MAR3,HAI3,SCO3,USA3,PAR3,AUS3,TUR3,GER3,CUW3,CIV3,ECU3,NED3,JPN3,SWE3,TUN3,BEL3,EGY3,IRN3,NZL3,ESP3,CPV3,KSA3,URU3,FRA3,SEN3,IRQ3,NOR3,ARG3,ALG3,AUT3,JOR3,POR3,COD3,UZB3,COL3,ENG3,CRO3,GHA3,PAN3,FWC3
4,MEX4,RSA4,KOR4,CZE4,CAN4,BIH4,QAT4,SUI4,BRA4,MAR4,HAI4,SCO4,USA4,PAR4,AUS4,TUR4,GER4,CUW4,CIV4,ECU4,NED4,JPN4,SWE4,TUN4,BEL4,EGY4,IRN4,NZL4,ESP4,CPV4,KSA4,URU4,FRA4,SEN4,IRQ4,NOR4,ARG4,ALG4,AUT4,JOR4,POR4,COD4,UZB4,COL4,ENG4,CRO4,GHA4,PAN4,FWC4
5,MEX5,RSA5,KOR5,CZE5,CAN5,BIH5,QAT5,SUI5,BRA5,MAR5,HAI5,SCO5,USA5,PAR5,AUS5,TUR5,GER5,CUW5,CIV5,ECU5,NED5,JPN5,SWE5,TUN5,BEL5,EGY5,IRN5,NZL5,ESP5,CPV5,KSA5,URU5,FRA5,SEN5,IRQ5,NOR5,ARG5,ALG5,AUT5,JOR5,POR5,COD5,UZB5,COL5,ENG5,CRO5,GHA5,PAN5,FWC5
6,MEX6,RSA6,KOR6,CZE6,CAN6,BIH6,QAT6,SUI6,BRA6,MAR6,HAI6,SCO6,USA6,PAR6,AUS6,TUR6,GER6,CUW6,CIV6,ECU6,NED6,JPN6,SWE6,TUN6,BEL6,EGY6,IRN6,NZL6,ESP6,CPV6,KSA6,URU6,FRA6,SEN6,IRQ6,NOR6,ARG6,ALG6,AUT6,JOR6,POR6,COD6,UZB6,COL6,ENG6,CRO6,GHA6,PAN6,FWC6
7,MEX7,RSA7,KOR7,CZE7,CAN7,BIH7,QAT7,SUI7,BRA7,MAR7,HAI7,SCO7,USA7,PAR7,AUS7,TUR7,GER7,CUW7,CIV7,ECU7,NED7,JPN7,SWE7,TUN7,BEL7,EGY7,IRN7,NZL7,ESP7,CPV7,KSA7,URU7,FRA7,SEN7,IRQ7,NOR7,ARG7,ALG7,AUT7,JOR7,POR7,COD7,UZB7,COL7,ENG7,CRO7,GHA7,PAN7,FWC7
8,MEX8,RSA8,KOR8,CZE8,CAN8,BIH8,QAT8,SUI8,BRA8,MAR8,HAI8,SCO8,USA8,PAR8,AUS8,TUR8,GER8,CUW8,CIV8,ECU8,NED8,JPN8,SWE8,TUN8,BEL8,EGY8,IRN8,NZL8,ESP8,CPV8,KSA8,URU8,FRA8,SEN8,IRQ8,NOR8,ARG8,ALG8,AUT8,JOR8,POR8,COD8,UZB8,COL8,ENG8,CRO8,GHA8,PAN8,FWC8
9,MEX9,RSA9,KOR9,CZE9,CAN9,BIH9,QAT9,SUI9,BRA9,MAR9,HAI9,SCO9,USA9,PAR9,AUS9,TUR9,GER9,CUW9,CIV9,ECU9,NED9,JPN9,SWE9,TUN9,BEL9,EGY9,IRN9,NZL9,ESP9,CPV9,KSA9,URU9,FRA9,SEN9,IRQ9,NOR9,ARG9,ALG9,AUT9,JOR9,POR9,COD9,UZB9,COL9,ENG9,CRO9,GHA9,PAN9,FWC9
